concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
peach,banana,WH,LY,0.23250699435623434,0.24186586409986544
peach,sandstorm,WH,LY,0.056817220467252905,0.05782955131650935
angry,peace,WH,LY,0.3153517538698811,0.3286637722318002
angry,happy,WH,LY,0.23020447538475897,0.2339582690726063
angry,lightning,WH,LY,0.09540109125611307,0.09449539096659976
angry,death,WH,LY,0.3596683321555213,0.4027321697270597
angry,banana,WH,LY,0.3810676332154701,0.41169047596266006
angry,sandstorm,WH,LY,0.0709186575943781,0.07463771423170873
peace,happy,WH,LY,0.08227247479816668,0.08135666360024763
peace,lightning,WH,LY,0.19755259478197895,0.1918642814590623
peace,death,WH,LY,0.05161103662778266,0.0551419186231652
peace,banana,WH,LY,0.5698627510235987,0.5872366388057535
peace,sandstorm,WH,LY,0.32534087057318795,0.33050089561753837
happy,lightning,WH,LY,0.11864271166833418,0.1130035687747275
happy,death,WH,LY,0.131943741872803,0.13810006967959543
happy,banana,WH,LY,0.5118672324359257,0.5192286412103342
happy,sandstorm,WH,LY,0.2542255034199872,0.25375428461985594
lightning,death,WH,LY,0.242683832630452,0.24867666409457923
lightning,banana,WH,LY,0.41024393820057936,0.40902437607889786
lightning,sandstorm,WH,LY,0.14230717343212418,0.1395727836844578
death,banana,WH,LY,0.5962755455449422,0.6424475700351091
death,sandstorm,WH,LY,0.3637208074190914,0.388132861622958
banana,sandstorm,WH,LY,0.26552961688915977,0.2768940755319196
sick,safety,WH,SY,0.16913954956533184,0.171809588279217
sick,mango,WH,SY,0.7058415793226969,0.7184866800633367
sick,justice,WH,SY,0.13104135377585846,0.14144549287552333
sick,sad,WH,SY,0.15258420666372996,0.16276353471131433
sick,tree,WH,SY,0.4875233062552391,0.5118374944037947
sick,peach,WH,SY,0.46288925314480567,0.48271812650690515
sick,angry,WH,SY,0.4827706354893002,0.5131170736687991
sick,peace,WH,SY,0.1695495539277112,0.17881448161568758
sick,happy,WH,SY,0.2005409956097437,0.2113056428274489
sick,lightning,WH,SY,0.15796710351181487,0.15876474123120388
sick,death,WH,SY,0.10762540881870752,0.11835536012208225
sick,banana,WH,SY,0.811824785469891,0.8605538193807833
sick,sandstorm,WH,SY,0.2703100459565504,0.2794195681741125
safety,mango,WH,SY,0.5646552148052844,0.5615801446349662
safety,justice,WH,SY,0.2840505044772277,0.295087960894149
safety,sad,WH,SY,0.023012147644940084,0.023664602893244457
safety,tree,WH,SY,0.301983835548564,0.3061522813674611
safety,peach,WH,SY,0.29219535745448777,0.2958297886609953
safety,angry,WH,SY,0.30724308009649004,0.316096791706276
safety,peace,WH,SY,0.3235568261739523,0.3290853088784158
safety,happy,WH,SY,0.03166108573525683,0.032322428905771305
safety,lightning,WH,SY,0.015530217407780267,0.015182270059707847
safety,death,WH,SY,0.2659226168345179,0.28004360694789754
safety,banana,WH,SY,0.698332551103924,0.7310229287468395
safety,sandstorm,WH,SY,0.09856572375815498,0.09891414559552025
mango,justice,WH,SY,0.7602920084576438,0.7850382066184421
mango,sad,WH,SY,0.6020492621847597,0.6210976907188339
mango,tree,WH,SY,0.3659253318791177,0.3749923319506687
mango,peach,WH,SY,0.3237384332817952,0.3307485166053601
mango,angry,WH,SY,0.3279983765498167,0.34169930396321
mango,peace,WH,SY,0.7944839371113799,0.8073441365760552
mango,happy,WH,SY,0.5370568456802153,0.5508544851349633
mango,lightning,WH,SY,0.5900005433030909,0.5812739366283266
mango,death,WH,SY,0.7581803360459771,0.7907950517628458
mango,banana,WH,SY,0.211894797122963,0.2309452559644103
mango,sandstorm,WH,SY,0.4888472995450758,0.49359242072996645
justice,sad,WH,SY,0.27299200094553355,0.29758462694958854
justice,tree,WH,SY,0.5787294261597049,0.6194344058712895
justice,peach,WH,SY,0.5518490146749482,0.5856706556846389
justice,angry,WH,SY,0.5713091270471502,0.617048134522499
justice,peace,WH,SY,0.03286853232516429,0.03558382688229722
justice,happy,WH,SY,0.31253615860289363,0.33589645517173583
justice,lightning,WH,SY,0.2765662030290321,0.2848161517485286
justice,death,WH,SY,0.025819359861453783,0.029088449526711413
justice,banana,WH,SY,0.8479667592396649,0.9007976070018828
justice,sandstorm,WH,SY,0.3777149077447781,0.39858228766276205
sad,tree,WH,SY,0.3402933632709222,0.36429711882222926
sad,peach,WH,SY,0.3261439926156906,0.3455709053955458
sad,angry,WH,SY,0.34310183656174,0.3716495651358289
sad,peace,WH,SY,0.3143792890374817,0.33513985233612986
sad,happy,WH,SY,0.0557439454941977,0.05953202592795348
sad,lightning,WH,SY,0.007497230216643391,0.007631384022356524
sad,death,WH,SY,0.25400412656123406,0.28223302737873235
sad,banana,WH,SY,0.7328215601572725,0.7942197717976687
sad,sandstorm,WH,SY,0.12546565178195546,0.13146037840463198
tree,peach,WH,SY,0.014628674384973062,0.015414409639978421
tree,angry,WH,SY,0.023121722564580782,0.025062770376798937
tree,peace,WH,SY,0.6249909511500474,0.6536020182911697
tree,happy,WH,SY,0.2669700046503122,0.28232009197209273
tree,lightning,WH,SY,0.3277791439926483,0.3283034637396479
tree,death,WH,SY,0.5705975607575416,0.6219563025917049
tree,banana,WH,SY,0.556227931672292,0.6195854299378043
tree,sandstorm,WH,SY,0.1996130163045855,0.2068001834512334
peach,angry,WH,SY,0.007186786966066228,0.007683361759242224
peach,peace,WH,SY,0.5935176405647075,0.617325477515309
peach,happy,WH,SY,0.2598237279886405,0.27266908949794877
peach,lightning,WH,SY,0.3151108508687914,0.31574216813093336
peach,death,WH,SY,0.5424696475259744,0.5844304457542265
peach,banana,WH,SY,0.5046356605522462,0.5539569726505746
peach,sandstorm,WH,SY,0.19709060761758201,0.20322787236140893
angry,peace,WH,SY,0.6145208245852141,0.649757707556838
angry,happy,WH,SY,0.2739839268848385,0.2932016167023693
