concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
tree,happy,SG,DO,0.5909256135833483,0.5463884866985489
tree,lightning,SG,DO,0.04645208392409916,0.04792209769570954
tree,death,SG,DO,0.3277436249935648,0.3252689674104665
tree,banana,SG,DO,0.16609461561204353,0.16312247659401224
tree,sandstorm,SG,DO,0.7560777932375979,0.7117410433069646
peach,angry,SG,DO,0.26271362911303275,0.2666141859964817
peach,peace,SG,DO,0.5880974637557872,0.5670561328080803
peach,happy,SG,DO,0.7887166831182216,0.7599303237831105
peach,lightning,SG,DO,0.19142619011147632,0.230127346869327
peach,death,SG,DO,0.1793577087708369,0.19392108884438408
peach,banana,SG,DO,0.011976457879019686,0.012627741083696686
peach,sandstorm,SG,DO,0.7351971304179534,0.7107364389969293
angry,peace,SG,DO,0.7415908198291765,0.7007456991299634
angry,happy,SG,DO,0.8847887509911108,0.844121665894169
angry,lightning,SG,DO,0.4634070735194076,0.505108711090705
angry,death,SG,DO,0.08205200377239241,0.08394105919846828
angry,banana,SG,DO,0.25561047214989374,0.256768425415269
angry,sandstorm,SG,DO,0.5560146973502345,0.5115406206047173
peace,happy,SG,DO,0.28060756471946546,0.24584847729284565
peace,lightning,SG,DO,0.5056929828382788,0.5062838985064426
peace,death,SG,DO,0.6914581589640543,0.6731424279021241
peace,banana,SG,DO,0.5494589033940231,0.52854068291566
peace,sandstorm,SG,DO,0.9389591874511853,0.8974608661832308
happy,lightning,SG,DO,0.753221772070829,0.7461028888479098
happy,death,SG,DO,0.8528811104902516,0.8306393742987976
happy,banana,SG,DO,0.7492615672654421,0.719995969440069
happy,sandstorm,SG,DO,0.9826092206033996,0.9569632726609489
lightning,death,SG,DO,0.3758429802685319,0.44753744126984274
lightning,banana,SG,DO,0.16173589152887047,0.18517023389477894
lightning,sandstorm,SG,DO,0.8708052929478256,0.8745353735683405
death,banana,SG,DO,0.1784077730103779,0.1890095189494132
death,sandstorm,SG,DO,0.6094808619685741,0.5899624150484317
banana,sandstorm,SG,DO,0.7033918160847961,0.6783891672372113
sick,safety,SG,LR,0.057237701921774464,0.05565907115454616
sick,mango,SG,LR,0.43238049858384775,0.4402559199619689
sick,justice,SG,LR,0.1324557026522153,0.1401205068747975
sick,sad,SG,LR,0.2093510180619742,0.2210706012559025
sick,tree,SG,LR,0.6081198571760308,0.5949337787225841
sick,peach,SG,LR,0.8273681487229152,0.8389895767758953
sick,angry,SG,LR,0.3727654212000302,0.3911835404441324
sick,peace,SG,LR,0.27754049967473304,0.254581578385793
sick,happy,SG,LR,0.2086001411169689,0.1931272843427685
sick,lightning,SG,LR,0.2894688013721485,0.33031501303405975
sick,death,SG,LR,0.24886235753388597,0.2611125173541824
sick,banana,SG,LR,0.07324317853321993,0.07820843259869759
sick,sandstorm,SG,LR,0.476169741306125,0.504373250631881
safety,mango,SG,LR,0.45789001418496866,0.4494584185867647
safety,justice,SG,LR,0.18197526989124513,0.1827761940109771
safety,sad,SG,LR,0.2569999092040467,0.2542410260745831
safety,tree,SG,LR,0.5265822194631488,0.49678667701603185
safety,peach,SG,LR,0.8227695974407341,0.8132056229837017
safety,angry,SG,LR,0.40386459985739687,0.39966190153978487
safety,peace,SG,LR,0.31480508200974544,0.28278694749668
safety,happy,SG,LR,0.2514417152683066,0.22727019879445964
safety,lightning,SG,LR,0.32814687133681764,0.3465305054562089
safety,death,SG,LR,0.29374055804744814,0.2874624207711114
safety,banana,SG,LR,0.13189267070968724,0.13199534322859452
safety,sandstorm,SG,LR,0.4975461239308596,0.49936022039255334
mango,justice,SG,LR,0.32900014562750557,0.348824741506069
mango,sad,SG,LR,0.3277700049146288,0.3478545633208412
mango,tree,SG,LR,0.8567196058996873,0.8492939343308527
mango,peach,SG,LR,0.5293908050676475,0.5448127170125596
mango,angry,SG,LR,0.15504060241540296,0.1644691514773029
mango,peace,SG,LR,0.16616422191451763,0.15344693586246916
mango,happy,SG,LR,0.2435736041277049,0.2276625428862208
mango,lightning,SG,LR,0.2179095732840809,0.25015300078787206
mango,death,SG,LR,0.3232751538433455,0.3415973989399156
mango,banana,SG,LR,0.4270230220617468,0.45544956990820973
mango,sandstorm,SG,LR,0.012880451031885065,0.01385318751075193
justice,sad,SG,LR,0.058914986094650956,0.06722693745110497
justice,tree,SG,LR,0.7170464690400172,0.7260219741025891
justice,peach,SG,LR,0.7817625758799545,0.8177518676460829
justice,angry,SG,LR,0.2414603850998991,0.27220250403526847
justice,peace,SG,LR,0.16074617373403943,0.15114444857533194
justice,happy,SG,LR,0.08465761155094897,0.08064294363444624
justice,lightning,SG,LR,0.15582626482298,0.19449744091134025
justice,death,SG,LR,0.09147755906042376,0.10484445265293152
justice,banana,SG,LR,0.07820410442745707,0.08966219303086764
justice,sandstorm,SG,LR,0.36395010091437596,0.4115190638977013
sad,tree,SG,LR,0.8371205119837616,0.8369748274573818
sad,peach,SG,LR,0.8383611841479546,0.8741016904340533
sad,angry,SG,LR,0.234168461911751,0.27533736267481124
sad,peace,SG,LR,0.13203191453825958,0.11986274027348887
sad,happy,SG,LR,0.04267103503963754,0.039300050510481244
sad,lightning,SG,LR,0.12513173003056877,0.17482931540058022
sad,death,SG,LR,0.038388980979648046,0.04746768753436936
sad,banana,SG,LR,0.16682588019860445,0.20039570584720412
sad,sandstorm,SG,LR,0.3812265096057825,0.4473299022462356
tree,peach,SG,LR,0.9863096079631932,0.9844318318665866
tree,angry,SG,LR,0.8941795311129461,0.8936717067228876
tree,peace,SG,LR,0.7778927761667078,0.7114514468954054
tree,happy,SG,LR,0.7473636288693568,0.6846229770103807
tree,lightning,SG,LR,0.8426447251808138,0.8852761570199306
tree,death,SG,LR,0.8833718910478723,0.8765282163078221
tree,banana,SG,LR,0.7412000215092871,0.7495201155356184
tree,sandstorm,SG,LR,0.9136355414010666,0.9203272868535062
peach,angry,SG,LR,0.7354629585905896,0.774723397541667
peach,peace,SG,LR,0.6560434770982146,0.6121565297209715
peach,happy,SG,LR,0.7172328507153072,0.6789618354512615
peach,lightning,SG,LR,0.7517904643714092,0.8377864390839586
peach,death,SG,LR,0.8607473630911314,0.8933472492922117
peach,banana,SG,LR,0.8677487346725693,0.903344276113781
peach,sandstorm,SG,LR,0.6109034905884205,0.6576435930252389
angry,peace,SG,LR,0.04386158295664078,0.039903131279325765
angry,happy,SG,LR,0.13651011224546528,0.12611761640095343
angry,lightning,SG,LR,0.09082677235794634,0.12343172311884198
angry,death,SG,LR,0.22647706621145702,0.2711213716498361
angry,banana,SG,LR,0.36972808649730715,0.4319572449000051
angry,sandstorm,SG,LR,0.1716968463613271,0.20146165517874848
peace,happy,SG,LR,0.07628637730680066,0.06491873042532492
peace,lightning,SG,LR,0.029134918785298614,0.028461138790158658
peace,death,SG,LR,0.11455643650072433,0.10187270301007434
peace,banana,SG,LR,0.24832969622959844,0.22976518610460894
peace,sandstorm,SG,LR,0.17585498591640847,0.16362889025037552
happy,lightning,SG,LR,0.05785502576554458,0.05764727725432617
happy,death,SG,LR,0.0187180429275845,0.016886513967879102
happy,banana,SG,LR,0.16824722945637693,0.1578445768344522
happy,sandstorm,SG,LR,0.26459623851251957,0.2502023444399035
lightning,death,SG,LR,0.104703269058108,0.15660794906981512
lightning,banana,SG,LR,0.26484564493537466,0.3583656813092748
lightning,sandstorm,SG,LR,0.24340892679942638,0.3236767515188044
death,banana,SG,LR,0.21864731700222362,0.2675987095629355
death,sandstorm,SG,LR,0.38674436809644375,0.46045704174244695
banana,sandstorm,SG,LR,0.48939511428464777,0.5682894121404876
sick,safety,SG,MG,0.16543493864547143,0.15543272547742648
sick,mango,SG,MG,0.1303768297568041,0.1297041325102286
sick,justice,SG,MG,0.09707741623393462,0.09594176877950167
sick,sad,SG,MG,0.026687244955200917,0.02530554437984356
sick,tree,SG,MG,0.05686467875517609,0.050521637565473454
sick,peach,SG,MG,0.05476936453551351,0.05484354870581476
sick,angry,SG,MG,0.11152289853224606,0.10707455314224179
sick,peace,SG,MG,0.010038242992251867,0.008851759044906427
sick,happy,SG,MG,0.3118587198336985,0.2734663050780597
sick,lightning,SG,MG,0.1673857792081208,0.16578290842085697
sick,death,SG,MG,0.139456233947436,0.1307086613402597
sick,banana,SG,MG,0.2291241384617666,0.22503956774099965
sick,sandstorm,SG,MG,0.10189097470704378,0.09705275370402444
safety,mango,SG,MG,0.05588613992282787,0.056575411368359196
safety,justice,SG,MG,0.08020010930865706,0.08059067996448954
safety,sad,SG,MG,0.21386822930229377,0.20799430780456474
safety,tree,SG,MG,0.12498614550206355,0.11405764496200566
safety,peach,SG,MG,0.13568707643971378,0.13839666044353005
safety,angry,SG,MG,0.10431325789983337,0.10294222624328464
safety,peace,SG,MG,0.1765236945685631,0.15962621190039084
safety,happy,SG,MG,0.1302556291198803,0.11651209091284975
safety,lightning,SG,MG,0.049606215174465396,0.05029383244609309
safety,death,SG,MG,0.08545930202832985,0.08267664096967242
safety,banana,SG,MG,0.024800075361682383,0.024871213153063176
safety,sandstorm,SG,MG,0.11949051628609375,0.11729438593858377
mango,justice,SG,MG,0.030625846101518972,0.03410385079817457
mango,sad,SG,MG,0.18685927615693898,0.20329363615280993
mango,tree,SG,MG,0.08133079253056308,0.07837416877489156
mango,peach,SG,MG,0.0925384094966919,0.1092731289817539
mango,angry,SG,MG,0.049877633206736105,0.058199079333919546
mango,peace,SG,MG,0.1429960051806216,0.13473783490573688
mango,happy,SG,MG,0.21039903968251228,0.19595204960285395
mango,lightning,SG,MG,0.01787379756390317,0.021979710077567827
mango,death,SG,MG,0.024086510197711464,0.027395627980349335
mango,banana,SG,MG,0.10158619253469214,0.11724566202127462
mango,sandstorm,SG,MG,0.06785768503436018,0.07967313979579371
justice,sad,SG,MG,0.1430163030630487,0.15228203074914726
justice,tree,SG,MG,0.04667979704584746,0.04478435777222867
justice,peach,SG,MG,0.05492947596624109,0.06272216034598044
justice,angry,SG,MG,0.0091600518578272,0.01025812680802174
justice,peace,SG,MG,0.10870174880587347,0.10222674392584419
justice,happy,SG,MG,0.22903840138900933,0.21325025935258624
justice,lightning,SG,MG,0.05294494305403963,0.06184091802593672
justice,death,SG,MG,0.016402227249654122,0.017945215738773168
justice,banana,SG,MG,0.12848555076280155,0.14359540928209402
justice,sandstorm,SG,MG,0.023976442958502542,0.026899281874031455
sad,tree,SG,MG,0.09861705053053782,0.0893601383607473
sad,peach,SG,MG,0.10036665837489611,0.11268531289431538
sad,angry,SG,MG,0.18825559708898754,0.20341868015862652
sad,peace,SG,MG,0.015329970950526794,0.013692541250634904
sad,happy,SG,MG,0.39098692133826096,0.3468690723292538
sad,lightning,SG,MG,0.25814474617819616,0.2964690386365747
sad,death,SG,MG,0.23327532726542421,0.24216183773393973
sad,banana,SG,MG,0.3179290431890398,0.344972740208932
