concept,color,weight,se,hex,barStroke,expCountry
happy,LO,0.506,0.0396,#fbc9a3,#fbc9a3,usa
happy,LP,0.6454,0.0412,#dfa7fa,#dfa7fa,usa
happy,LR,0.6312,0.0392,#fc9fa3,#fc9fa3,usa
happy,LY,0.6998,0.041,#fff498,#fff498,usa
happy,MB,0.3822,0.0371,#7196c0,#7196c0,usa
happy,MC,0.4176,0.0387,#65acac,#65acac,usa
happy,MG,0.4642,0.0388,#62ae88,#62ae88,usa
happy,MH,0.3836,0.0341,#a0b668,#a0b668,usa
happy,MO,0.35,0.0343,#ce916c,#ce916c,usa
happy,MP,0.5084,0.0395,#a66fbd,#a66fbd,usa
happy,MR,0.4376,0.0385,#c5666b,#c5666b,usa
happy,MY,0.4698,0.0419,#dab572,#dab572,usa
happy,SB,0.6352,0.0437,#4fa7ef,#4fa7ef,usa
happy,SC,0.651,0.0388,#27d1cd,#27d1cd,usa
happy,SG,0.6082,0.0398,#04c981,#04c981,usa
happy,SH,0.6492,0.037,#bde638,#bde638,usa
happy,SO,0.662,0.0386,#f89e2d,#f89e2d,usa
happy,SP,0.5532,0.0442,#b740da,#b740da,usa
happy,SR,0.5774,0.0423,#f03a52,#f03a52,usa
happy,SY,0.7782,0.0366,#fff329,#fff329,usa
happy,WH,0.4936,0.0451,#ffffff,#000000,usa
justice,A1,0.302,0.0505,#656168,#656168,usa
justice,A2,0.333,0.0478,#9d97a0,#9d97a0,usa
justice,A3,0.4376,0.0498,#d8cfdb,#d8cfdb,usa
justice,BK,0.4356,0.0559,#323033,#323033,usa
justice,DB,0.4366,0.0448,#386089,#386089,usa
justice,DC,0.3298,0.0429,#297375,#297375,usa
justice,DG,0.3464,0.0421,#21704f,#21704f,usa
justice,DH,0.2116,0.036,#677f35,#677f35,usa
justice,DO,0.2098,0.04,#864d2b,#864d2b,usa
justice,DP,0.3256,0.0463,#723484,#723484,usa
justice,DR,0.3266,0.0491,#8a2b38,#8a2b38,usa
justice,DY,0.1374,0.0306,#8a7527,#8a7527,usa
justice,LB,0.355,0.0415,#aacffb,#aacffb,usa
justice,LC,0.2382,0.0373,#9de5e4,#9de5e4,usa
justice,LG,0.206,0.037,#95e2b8,#95e2b8,usa
justice,LH,0.1824,0.0321,#dbf099,#dbf099,usa
justice,LO,0.193,0.0365,#fbc9a3,#fbc9a3,usa
justice,LP,0.2122,0.0353,#dfa7fa,#dfa7fa,usa
justice,LR,0.1972,0.0365,#fc9fa3,#fc9fa3,usa
justice,LY,0.2792,0.0419,#fff498,#fff498,usa
justice,MB,0.4008,0.044,#7196c0,#7196c0,usa
justice,MC,0.3186,0.0395,#65acac,#65acac,usa
justice,MG,0.2488,0.0407,#62ae88,#62ae88,usa
justice,MH,0.1802,0.0362,#a0b668,#a0b668,usa
justice,MO,0.2096,0.0312,#ce916c,#ce916c,usa
justice,MP,0.2626,0.0427,#a66fbd,#a66fbd,usa
justice,MR,0.2048,0.0346,#c5666b,#c5666b,usa
justice,MY,0.2954,0.0413,#dab572,#dab572,usa
justice,SB,0.3844,0.0443,#4fa7ef,#4fa7ef,usa
justice,SC,0.2864,0.0406,#27d1cd,#27d1cd,usa
justice,SG,0.2316,0.0372,#04c981,#04c981,usa
justice,SH,0.1796,0.0339,#bde638,#bde638,usa
