country,concept,color,n_participants,n_ratings,mean_rating,sd_rating,se_rating
MDG,angry,SH,50,50,0.247,0.3270227477577369,0.04624800050835071
MDG,angry,SO,50,50,0.3094,0.3367940689768143,0.04762987400738304
MDG,angry,SP,50,50,0.252,0.3176186906544721,0.04491806599867391
MDG,angry,SR,50,50,0.621,0.39781161575883256,0.05625905822756955
MDG,angry,SY,50,50,0.3104,0.3682388311065169,0.052076834914325174
MDG,angry,WH,50,50,0.1804,0.23910513442024298,0.033814572393014955
MDG,banana,A1,50,50,0.13419999999999999,0.20734561505282104,0.029323098090629048
MDG,banana,A2,50,50,0.179,0.256286271698709,0.03624435212863501
MDG,banana,A3,50,50,0.187,0.2883821868879659,0.04078339998437739
MDG,banana,BK,50,50,0.14800000000000002,0.2517854609927804,0.035607841374435185
MDG,banana,DB,50,50,0.1018,0.17128196111698873,0.024222927240150658
MDG,banana,DC,50,50,0.1208,0.20633675664519185,0.029180423966370717
MDG,banana,DG,50,50,0.4858,0.39016527110381083,0.05517770179619847
MDG,banana,DH,50,50,0.4152,0.3658885745409275,0.05174445844331388
MDG,banana,DO,50,50,0.1568,0.21136524148052926,0.029891559111602874
MDG,banana,DP,50,50,0.156,0.21204543217462252,0.02998775260206154
MDG,banana,DR,50,50,0.13140000000000002,0.2133217365045253,0.03016824929136794
MDG,banana,DY,50,50,0.3506,0.36026866392191487,0.050949683061640653
MDG,banana,LB,50,50,0.128,0.21975868026319326,0.03107857060774205
MDG,banana,LC,50,50,0.1574,0.2503451494987491,0.0354041505695451
MDG,banana,LG,50,50,0.3196,0.3193038345768967,0.04515638133763825
MDG,banana,LH,50,50,0.4714,0.3633180986633153,0.05138093825852668
MDG,banana,LO,50,50,0.2138,0.26455114084510956,0.03741318113244288
MDG,banana,LP,50,50,0.16240000000000002,0.2464652974703393,0.03485545663368731
MDG,banana,LR,50,50,0.1704,0.24503194294055725,0.03465274969211664
MDG,banana,LY,50,50,0.5138,0.3939278396573957,0.05570980934398229
MDG,banana,MB,50,50,0.08839999999999999,0.1616289527508823,0.02285778570524579
MDG,banana,MC,50,50,0.1772,0.2567857838267341,0.03631499381123731
MDG,banana,MG,50,50,0.48519999999999996,0.36252087906091973,0.051268194381136924
MDG,banana,MH,50,50,0.4936,0.3408917477344815,0.04820937329471715
MDG,banana,MO,50,50,0.23099999999999998,0.26627628738678516,0.037657153696074745
MDG,banana,MP,50,50,0.1404,0.20106816795123314,0.02843533300781452
MDG,banana,MR,50,50,0.1646,0.22251998305128204,0.03146907779301543
MDG,banana,MY,50,50,0.4714,0.3602890562890201,0.05095256697785357
MDG,banana,SB,50,50,0.1002,0.17282160201331598,0.024440665343827682
MDG,banana,SC,50,50,0.1442,0.21731280943114503,0.030732672237492514
MDG,banana,SG,50,50,0.5318,0.3787395314105213,0.05356185819275901
MDG,banana,SH,50,50,0.6356,0.39622792863271433,0.05603509104633834
MDG,banana,SO,50,50,0.424,0.3741930092389024,0.05291888286108566
MDG,banana,SP,50,50,0.14859999999999998,0.20657567670004526,0.029214212364560375
MDG,banana,SR,50,50,0.16219999999999998,0.2809916114660467,0.03973821478483545
MDG,banana,SY,50,50,0.7812,0.33357457936719337,0.04717456942039853
MDG,banana,WH,50,50,0.21359999999999998,0.29968527709269005,0.04238189833080213
MDG,death,A1,50,50,0.7284,0.3301104329753661,0.04668466513946173
MDG,death,A2,50,50,0.5956,0.34838496183482587,0.04926907379536438
MDG,death,A3,50,50,0.424,0.3935448526158209,0.05565564679714147
MDG,death,BK,50,50,0.8658,0.2511287985663686,0.035514975283501955
