concept_lo,concept_hi,category,color_lo,color_hi,deltaS_mg,deltaS_us,thr_mg_low,thr_mg_high,thr_us_low,thr_us_high
banana,lightning,MG_low__US_low,MB,SB,0.01989380486900305,0.11054990900675277,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,peace,MG_high__US_high,LC,SH,0.5928911760364712,0.8010766326726193,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,peace,MG_high__US_low,LG,WH,0.4800163481689417,0.08586717175003433,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,peace,MG_low__US_high,A1,DB,0.03331320244320657,0.6130480282123498,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,peace,MG_low__US_low,SB,SC,0.00586181289378906,0.12503465495583843,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,peach,MG_high__US_high,LR,MH,0.4757649444975261,0.8668703332123998,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,peach,MG_high__US_low,DO,MH,0.383425795913775,0.10254556746564523,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,peach,MG_low__US_high,LP,MO,0.01819603251484713,0.8480816011831565,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,peach,MG_low__US_low,A2,WH,0.02120565701109189,0.08183707709659394,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,sad,MG_high__US_high,BK,SP,0.5071336078635074,0.863676493273519,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,sad,MG_high__US_low,MG,MO,0.46044105704534743,0.12596936701543182,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,sad,MG_low__US_high,DB,MO,0.04765068575929332,0.6443771382507164,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,sad,MG_low__US_low,LR,MO,0.08077837260909848,0.02953534484294584,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,safety,MG_high__US_high,A3,LY,0.5197099398296219,0.7338080384682867,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,safety,MG_high__US_low,SG,WH,0.43036005541781264,0.08718466173623574,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,safety,MG_low__US_high,DG,DY,0.02263799268614219,0.59693420244177,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,safety,MG_low__US_low,SC,WH,0.05952313071463733,0.05942801438012202,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,sick,MG_high__US_high,LC,LY,0.5660298353137199,0.7275486623267364,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,sick,MG_high__US_low,BK,LG,0.4786304010438206,0.12549795098835115,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,sick,MG_low__US_high,LY,SG,0.01214283018968465,0.6530942047520791,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,sick,MG_low__US_low,DG,MG,0.03980609217958775,0.10955977770627578,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,tree,MG_high__US_high,DO,SO,0.5437054985040183,0.5818769366573344,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,tree,MG_high__US_low,LB,SH,0.4769042236733506,0.09864471359805294,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,tree,MG_low__US_high,LY,SH,0.08652316301635588,0.6320359359936165,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,tree,MG_low__US_low,DY,LP,0.0095576984320993,0.12352461869867536,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,happy,MG_high__US_high,BK,LP,0.8747955219362162,0.9999396117284992,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,happy,MG_high__US_low,LB,MP,0.5535311318758864,0.09471570347347302,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,happy,MG_low__US_high,DY,LP,0.02494414464875816,0.8128400203420953,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,happy,MG_low__US_low,LO,MG,0.07904712170488026,0.0198704779385751,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,justice,MG_high__US_high,A2,SH,0.4700426295761413,0.6415776164351321,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,justice,MG_high__US_low,MR,SP,0.4788157866647893,0.1338340373759721,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,justice,MG_low__US_high,A2,SP,0.0350231707729417,0.6452791455817566,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,justice,MG_low__US_low,LC,WH,0.06275267318084798,0.06001193449500242,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,lightning,MG_high__US_high,BK,MP,0.5016335995011318,0.8631212778810005,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
death,lightning,MG_high__US_low,DP,MR,0.4701262029293431,0.11987242467043746,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
