country,concept_a,concept_b,color_1,color_2,A_to_C1,B_to_C2,A_to_C2,B_to_C1
MDG,angry,banana,DC,DH,0.24280000000000002,0.4152,0.2688,0.1208
MDG,angry,banana,DC,DO,0.24280000000000002,0.1568,0.3696,0.1208
MDG,angry,banana,DC,DP,0.24280000000000002,0.156,0.26940000000000003,0.1208
MDG,angry,banana,DC,DR,0.24280000000000002,0.13140000000000002,0.6368,0.1208
MDG,angry,banana,DC,DY,0.24280000000000002,0.3506,0.29960000000000003,0.1208
MDG,angry,banana,DC,LB,0.24280000000000002,0.128,0.1918,0.1208
MDG,angry,banana,DC,LC,0.24280000000000002,0.1574,0.2486,0.1208
MDG,angry,banana,DC,LG,0.24280000000000002,0.3196,0.2164,0.1208
MDG,angry,banana,DC,LH,0.24280000000000002,0.4714,0.2452,0.1208
MDG,angry,banana,DC,LO,0.24280000000000002,0.2138,0.24719999999999998,0.1208
MDG,angry,banana,DC,LP,0.24280000000000002,0.16240000000000002,0.28600000000000003,0.1208
MDG,angry,banana,DC,LR,0.24280000000000002,0.1704,0.29059999999999997,0.1208
MDG,angry,banana,DC,LY,0.24280000000000002,0.5138,0.1766,0.1208
MDG,angry,banana,DC,MB,0.24280000000000002,0.08839999999999999,0.2364,0.1208
MDG,angry,banana,DC,MC,0.24280000000000002,0.1772,0.23420000000000002,0.1208
MDG,angry,banana,DC,MG,0.24280000000000002,0.48519999999999996,0.22460000000000002,0.1208
MDG,angry,banana,DC,MH,0.24280000000000002,0.4936,0.2696,0.1208
MDG,angry,banana,DC,MO,0.24280000000000002,0.23099999999999998,0.23079999999999998,0.1208
MDG,angry,banana,DC,MP,0.24280000000000002,0.1404,0.1816,0.1208
MDG,angry,banana,DC,MR,0.24280000000000002,0.1646,0.3636,0.1208
MDG,angry,banana,DC,MY,0.24280000000000002,0.4714,0.20800000000000002,0.1208
MDG,angry,banana,DC,SB,0.24280000000000002,0.1002,0.1782,0.1208
MDG,angry,banana,DC,SC,0.24280000000000002,0.1442,0.2216,0.1208
MDG,angry,banana,DC,SG,0.24280000000000002,0.5318,0.18580000000000002,0.1208
MDG,angry,banana,DC,SH,0.24280000000000002,0.6356,0.247,0.1208
MDG,angry,banana,DC,SO,0.24280000000000002,0.424,0.3094,0.1208
MDG,angry,banana,DC,SP,0.24280000000000002,0.14859999999999998,0.252,0.1208
MDG,angry,banana,DC,SR,0.24280000000000002,0.16219999999999998,0.621,0.1208
MDG,angry,banana,DC,SY,0.24280000000000002,0.7812,0.3104,0.1208
MDG,angry,banana,DC,WH,0.24280000000000002,0.21359999999999998,0.1804,0.1208
MDG,angry,banana,DG,DH,0.26239999999999997,0.4152,0.2688,0.4858
