expCountry,concept,color,weight,se,hex,barStroke
usa,lightning,DY,0.17,0.035,#8a7527,#8a7527
usa,lightning,LB,0.259,0.04,#aacffb,#aacffb
usa,lightning,LC,0.197,0.037,#9de5e4,#9de5e4
usa,lightning,LG,0.126,0.03,#95e2b8,#95e2b8
usa,lightning,LH,0.406,0.047,#dbf099,#dbf099
usa,lightning,LO,0.266,0.042,#fbc9a3,#fbc9a3
usa,lightning,LP,0.099,0.024,#dfa7fa,#dfa7fa
usa,lightning,LR,0.134,0.035,#fc9fa3,#fc9fa3
usa,lightning,LY,0.611,0.046,#fff498,#fff498
usa,lightning,MB,0.184,0.033,#7196c0,#7196c0
usa,lightning,MC,0.096,0.022,#65acac,#65acac
usa,lightning,MG,0.063,0.017,#62ae88,#62ae88
usa,lightning,MH,0.105,0.022,#a0b668,#a0b668
usa,lightning,MO,0.129,0.028,#ce916c,#ce916c
usa,lightning,MP,0.084,0.022,#a66fbd,#a66fbd
usa,lightning,MR,0.114,0.031,#c5666b,#c5666b
usa,lightning,MY,0.305,0.043,#dab572,#dab572
usa,lightning,SB,0.24,0.041,#4fa7ef,#4fa7ef
usa,lightning,SC,0.188,0.041,#27d1cd,#27d1cd
usa,lightning,SG,0.075,0.024,#04c981,#04c981
usa,lightning,SH,0.296,0.044,#bde638,#bde638
usa,lightning,SO,0.309,0.048,#f89e2d,#f89e2d
usa,lightning,SP,0.1,0.027,#b740da,#b740da
usa,lightning,SR,0.17,0.041,#f03a52,#f03a52
usa,lightning,SY,0.681,0.055,#fff329,#fff329
usa,lightning,WH,0.776,0.043,#ffffff,#000000
usa,mango,A1,0.043,0.014,#656168,#656168
usa,mango,A2,0.043,0.015,#9d97a0,#9d97a0
usa,mango,A3,0.06,0.017,#d8cfdb,#d8cfdb
usa,mango,BK,0.05,0.016,#323033,#323033
usa,mango,DB,0.046,0.012,#386089,#386089
usa,mango,DC,0.051,0.013,#297375,#297375
usa,mango,DG,0.218,0.038,#21704f,#21704f
usa,mango,DH,0.275,0.04,#677f35,#677f35
usa,mango,DO,0.266,0.039,#864d2b,#864d2b
usa,mango,DP,0.046,0.013,#723484,#723484
usa,mango,DR,0.241,0.036,#8a2b38,#8a2b38
usa,mango,DY,0.283,0.037,#8a7527,#8a7527
usa,mango,LB,0.049,0.013,#aacffb,#aacffb
usa,mango,LC,0.074,0.017,#9de5e4,#9de5e4
usa,mango,LG,0.126,0.026,#95e2b8,#95e2b8
usa,mango,LH,0.261,0.038,#dbf099,#dbf099
usa,mango,LO,0.511,0.042,#fbc9a3,#fbc9a3
usa,mango,LP,0.051,0.015,#dfa7fa,#dfa7fa
usa,mango,LR,0.397,0.045,#fc9fa3,#fc9fa3
usa,mango,LY,0.41,0.04,#fff498,#fff498
usa,mango,MB,0.042,0.012,#7196c0,#7196c0
