concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category
banana,happy,A3,DG,0.4679483436945388,0.06335611092383431,high,low,MG_high__US_low
banana,happy,DO,DP,0.03681857979145531,0.7126306489638825,low,high,MG_low__US_high
banana,happy,LB,SR,0.07279717636097849,0.015155580812941771,low,low,MG_low__US_low
banana,justice,A1,SH,0.5056708169663677,0.6587290621187059,high,high,MG_high__US_high
banana,justice,DG,LC,0.5737970637413257,0.02918628175859772,high,low,MG_high__US_low
banana,justice,LP,MR,0.04275828128535325,0.01290989647911106,low,low,MG_low__US_low
banana,lightning,A1,MY,0.41749359097329797,0.5946003496973105,high,high,MG_high__US_high
banana,lightning,DC,LH,0.3861938692946287,0.06389843207198354,high,low,MG_high__US_low
banana,lightning,MB,WH,0.020447380414716942,0.8552299029713339,low,high,MG_low__US_high
banana,lightning,MB,SB,0.018085602408998314,0.11214156569132672,low,low,MG_low__US_low
banana,mango,MB,SY,0.3836993626267913,0.8318767959327178,high,high,MG_high__US_high
banana,mango,DC,MR,0.0038815003275920468,0.6956827538272181,low,high,MG_low__US_high
banana,mango,DB,MB,0.04874049182061202,0.014426928922413262,low,low,MG_low__US_low
banana,peace,LC,SH,0.5489281351210076,0.8075080927261509,high,high,MG_high__US_high
banana,peace,LG,WH,0.4413731855541667,0.0871067030965027,high,low,MG_high__US_low
banana,peace,A1,DB,0.03028625716613198,0.6198916701171628,low,high,MG_low__US_high
banana,peace,SB,SC,0.0053289291322997645,0.12683152061364528,low,low,MG_low__US_low
banana,peach,LR,MH,0.43736838375630627,0.8724013931875201,high,high,MG_high__US_high
banana,peach,DO,MH,0.3510290562277519,0.10402334644165112,high,low,MG_high__US_low
banana,peach,LP,MO,0.016542096621366242,0.8539297689262464,low,high,MG_low__US_high
banana,peach,A2,WH,0.01927826395401433,0.08301886296086369,low,low,MG_low__US_low
banana,sad,BK,SP,0.4669884211220534,0.8692653738682028,high,high,MG_high__US_high
banana,sad,MG,MO,0.42295700759928767,0.12777943395136915,high,low,MG_high__US_low
banana,sad,DB,MO,0.04332327791463403,0.6513058781508421,low,high,MG_low__US_high
banana,sad,LR,MO,0.07345670664372417,0.029963193481526762,low,low,MG_low__US_low
banana,safety,A3,LY,0.4789120054445455,0.740675428113615,high,high,MG_high__US_high
banana,safety,SG,WH,0.39476886034430514,0.08844305679794284,high,low,MG_high__US_low
banana,safety,DG,DY,0.02058047264576235,0.6037160750428348,low,high,MG_low__US_high
banana,safety,SC,WH,0.054120658974451175,0.06028766073095926,low,low,MG_low__US_low
banana,sandstorm,DG,MO,0.666021435164281,0.8377037068008903,high,high,MG_high__US_high
banana,sandstorm,DC,LG,0.3366098342762469,0.11780354262519882,high,low,MG_high__US_low
banana,sandstorm,DY,MY,0.03977097820681452,0.023361953919699863,low,low,MG_low__US_low
banana,sick,LC,LY,0.5230937335573866,0.7344374474373971,high,high,MG_high__US_high
banana,sick,BK,LG,0.44006731010405997,0.1273013605924822,high,low,MG_high__US_low
banana,sick,LY,SG,0.011039010495304868,0.6600378139984537,low,high,MG_low__US_high
banana,sick,DG,MG,0.0361899632983782,0.11113736538434349,low,low,MG_low__US_low
banana,tree,DO,SO,0.5017453361564721,0.5885908462355898,high,high,MG_high__US_high
banana,tree,LB,SH,0.43844129421410555,0.10006688163761557,high,low,MG_high__US_low
banana,tree,LY,SH,0.07868424744525204,0.6389369119303416,low,high,MG_low__US_high
banana,tree,DY,LP,0.00868885282128673,0.12530014667058254,low,low,MG_low__US_low
death,happy,BK,LP,0.836652128093446,0.9999528703031966,high,high,MG_high__US_high
death,happy,LB,MP,0.511128394529873,0.0960817878803249,high,low,MG_high__US_low
death,happy,DY,LP,0.022677136362053485,0.8191503881087219,low,high,MG_low__US_high
death,happy,LO,MG,0.0718814669206434,0.02015839503654404,low,low,MG_low__US_low
death,justice,A2,SH,0.43198254185352725,0.6485007381918604,high,high,MG_high__US_high
death,justice,MR,SP,0.44024196726611886,0.1357549698558067,high,low,MG_high__US_low
death,justice,A2,SP,0.03184102143154566,0.652209609238324,low,high,MG_low__US_high
death,justice,LC,WH,0.05705810620889368,0.060879994922206526,low,low,MG_low__US_low
death,lightning,BK,MP,0.46178283829986544,0.8687200397911143,high,high,MG_high__US_high
death,lightning,DP,MR,0.4320611639397871,0.12159629032072394,high,low,MG_high__US_low
death,lightning,A2,SP,0.0019534668003995947,0.588816525197084,low,high,MG_low__US_high
death,lightning,LB,LO,0.016271218571434876,0.02145958516782326,low,low,MG_low__US_low
death,mango,DP,MO,0.5570543122387548,0.7955582939909354,high,high,MG_high__US_high
death,mango,DY,LP,0.33161661830520006,0.11368503012571152,high,low,MG_high__US_low
death,mango,MG,SO,0.05121129966032001,0.8843716409773681,low,high,MG_low__US_high
death,mango,MP,SP,0.06358864168812867,0.029837281104041047,low,low,MG_low__US_low
death,peace,A2,LR,0.5933831395546882,0.9020819264339028,high,high,MG_high__US_high
death,peace,SP,WH,0.5245719453972866,0.06159761505559436,high,low,MG_high__US_low
death,peace,SB,SY,0.03887769966578164,0.592667602822647,low,high,MG_low__US_high
death,peace,LH,SG,0.07583631999096063,0.12134907451348725,low,low,MG_low__US_low
death,peach,A1,SC,0.6713992569033336,0.9949650106779786,high,high,MG_high__US_high
death,peach,LC,SP,0.5482479789552888,0.046472393755975006,high,low,MG_high__US_low
death,peach,LO,MB,0.030696952736207983,0.9792220531821123,low,high,MG_low__US_high
death,peach,DY,MB,0.056522418343153635,0.050730479746020185,low,low,MG_low__US_low
death,sad,BK,MG,0.3310131341133946,0.5995673499274661,high,high,MG_high__US_high
death,sad,MO,SP,0.34088262319769336,0.1301257052491056,high,low,MG_high__US_low
death,sad,MB,SY,0.03394043881075004,0.6554196592921073,low,high,MG_low__US_high
death,sad,DO,MH,0.017527336031041507,0.05236661135159282,low,low,MG_low__US_low
death,safety,A2,LH,0.5522541755510861,0.8443621221439712,high,high,MG_high__US_high
death,safety,LH,MP,0.3758889747698712,0.11616854500067303,high,low,MG_high__US_low
death,safety,A1,DP,0.026896423431580496,0.8486603256212426,low,high,MG_low__US_high
death,safety,DH,MR,0.07084131973045138,0.11105691654499084,low,low,MG_low__US_low
death,sandstorm,SB,SO,0.4103710953416895,0.62784775183131325,high,high,MG_high__US_high
death,sandstorm,DC,SP,0.5488360987308065,0.08871065531086209,high,low,MG_high__US_low
death,sandstorm,BK,DP,0.0013182202544186339,0.8536143685023396,low,high,MG_low__US_high
death,sandstorm,LH,SY,0.008491216127244794,0.0968194867056078,low,low,MG_low__US_low
death,sick,BK,LH,0.5294543322439615,0.8941996157748537,high,high,MG_high__US_high
death,sick,DC,SP,0.3623548932856462,0.15227225027052022,high,low,MG_high__US_low
death,sick,DH,SC,0.02642201932432403,0.7403718871503078,low,high,MG_low__US_high
death,sick,MG,SG,0.07107068990744198,0.1311241042491052,low,low,MG_low__US_low
death,tree,A1,LR,0.7239644152710798,0.9716660946175324,high,high,MG_high__US_high
death,tree,DP,SR,0.48912620437848164,0.06183493075979252,high,low,MG_high__US_low
death,tree,A2,MP,0.060274646237608476,0.8851774578850411,low,high,MG_low__US_high
death,tree,LR,SB,0.028041449507069716,0.08901847392767936,low,low,MG_low__US_low
