concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us
peach,tree,MG_low__US_high,DB,MY,0.041572183670489427,0.6437357660265628
sad,sandstorm,MG_high__US_high,DB,MY,0.4235830545297481,0.9357655556388644
sad,sick,MG_low__US_high,DB,MY,0.03810617321075854,0.7069545208938885
safety,sandstorm,MG_high__US_high,DB,MY,0.48641025385124603,0.8408336909896936
angry,justice,MG_low__US_low,DB,SB,0.06825272831938256,0.0034633596441568937
angry,sandstorm,MG_low__US_low,DB,SB,0.06171666560074346,0.1283851037845547
angry,sick,MG_low__US_low,DB,SB,0.04306716765402063,0.06670917095196932
angry,tree,MG_low__US_low,DB,SB,0.07673912195032906,0.1499413627840891
banana,justice,MG_low__US_low,DB,SB,0.030902771799849127,0.09125316064976818
banana,lightning,MG_low__US_low,DB,SB,0.012288336264929922,0.14428464616097503
banana,mango,MG_low__US_low,DB,SB,0.06147952321431743,0.08018224160132337
banana,peach,MG_low__US_low,DB,SB,0.06341765664804955,0.01788327871734241
banana,tree,MG_low__US_low,DB,SB,0.03243137503341198,0.006796669003697353
happy,peace,MG_low__US_low,DB,SB,0.017457407954330595,0.07078546059692853
justice,mango,MG_low__US_low,DB,SB,0.0691951593491531,0.07242431364723978
justice,peach,MG_low__US_low,DB,SB,0.01976879254599151,0.08620207891833087
justice,safety,MG_low__US_low,DB,SB,0.061992294947808224,0.14224622795123176
justice,sick,MG_low__US_low,DB,SB,0.025238482645058513,0.037068328414366025
justice,tree,MG_low__US_low,DB,SB,0.005752800975335592,0.08700016255809206
lightning,peach,MG_low__US_low,DB,SB,0.05543802039423262,0.14944719299207326
lightning,tree,MG_low__US_low,DB,SB,0.03243414178381698,0.11905826665662872
mango,sandstorm,MG_low__US_low,DB,SB,0.054060547280474436,0.02316888871917927
mango,tree,MG_low__US_low,DB,SB,0.07689287234198705,0.04576482209074584
peace,safety,MG_low__US_low,DB,SB,0.03747998424299087,0.14267592486602632
peach,safety,MG_low__US_low,DB,SB,0.048109435849934545,0.11137096985926465
peach,tree,MG_low__US_low,DB,SB,0.03004750206237311,0.01599866552223772
safety,tree,MG_low__US_low,DB,SB,0.07594856720695592,0.09617671896382118
angry,safety,MG_low__US_low,DB,SC,0.011376255662510104,0.01561049236705947
angry,sandstorm,MG_low__US_low,DB,SC,0.019428312428759253,0.10649632221814542
angry,sick,MG_low__US_low,DB,SC,0.02500144329708287,0.014876612536452838
banana,mango,MG_low__US_low,DB,SC,0.03220513018459409,0.020905165792974634
banana,safety,MG_low__US_low,DB,SC,0.05622016171286437,0.05934091568651256
banana,sick,MG_low__US_low,DB,SC,0.019815182784781837,0.1397757139997356
death,happy,MG_low__US_high,DB,SC,0.04581339742062096,0.5929240029140788
death,justice,MG_low__US_low,DB,SC,0.011083403609791154,0.0383896861352635
justice,safety,MG_low__US_low,DB,SC,0.008688716712909217,0.14313178347791755
justice,sick,MG_low__US_low,DB,SC,0.02395977940347338,0.15156830955372147
mango,peach,MG_low__US_low,DB,SC,0.046184933863521405,0.0023757198342686525
mango,safety,MG_low__US_low,DB,SC,0.02536060753453745,0.06441988230585466
mango,sandstorm,MG_low__US_low,DB,SC,0.036602253756382874,0.09021922531898768
mango,sick,MG_low__US_low,DB,SC,0.008429874510870627,0.14697775099202293
mango,tree,MG_low__US_low,DB,SC,0.06369801664504027,0.08482776363348599
peach,safety,MG_low__US_low,DB,SC,0.014087695951725765,0.06354435786850443
peach,sandstorm,MG_low__US_low,DB,SC,0.013716926258958928,0.08557739633138967
peach,sick,MG_low__US_low,DB,SC,0.0524170598682161,0.14466192340433004
peach,tree,MG_low__US_low,DB,SC,0.014736247296259608,0.08504917828445668
safety,sandstorm,MG_low__US_low,DB,SC,0.003715532138106159,0.034078471625160756
safety,sick,MG_low__US_low,DB,SC,0.03185219202052525,0.023659805495280517
safety,tree,MG_low__US_low,DB,SC,0.026847626120870327,0.0994129503881096
sandstorm,sick,MG_low__US_low,DB,SC,0.04365334039961288,0.0950017684704223
sandstorm,tree,MG_low__US_low,DB,SC,0.031300544683477816,0.13171406326480994
angry,sad,MG_low__US_high,DB,SG,0.058661450674488747,0.628251767506125
