country,concept_a,concept_b,color_1,color_2,A_to_C1,A_to_C2,B_to_C1,B_to_C2,mu_D,semantic_distance
usa,banana,justice,A1,A3,0.0524,0.0678,0.302,0.4376,0.1202,0.1935
usa,banana,lightning,A1,A3,0.0524,0.0678,0.3756,0.51,0.119,0.1819
usa,banana,mango,A1,A3,0.0524,0.0678,0.0426,0.0602,0.0022,0.0112
usa,banana,peace,A1,A3,0.0524,0.0678,0.1886,0.5726,0.3686,0.5973
usa,banana,peach,A1,A3,0.0524,0.0678,0.0288,0.0976,0.0534,0.2332
usa,banana,sad,A1,A3,0.0524,0.0678,0.7964,0.4174,-0.3944,0.6239
usa,banana,safety,A1,A3,0.0524,0.0678,0.223,0.3274,0.089,0.1645
usa,banana,sandstorm,A1,A3,0.0524,0.0678,0.3454,0.3636,0.0028,0.0046
usa,banana,sick,A1,A3,0.0524,0.0678,0.4512,0.242,-0.2246,0.3686
usa,banana,tree,A1,A3,0.0524,0.0678,0.0992,0.1328,0.0182,0.0593
usa,death,happy,A1,A3,0.775,0.4332,0.1012,0.3008,0.5414,0.6696
usa,death,justice,A1,A3,0.775,0.4332,0.302,0.4376,0.4774,0.5371
usa,death,lightning,A1,A3,0.775,0.4332,0.3756,0.51,0.4762,0.5223
usa,death,mango,A1,A3,0.775,0.4332,0.0426,0.0602,0.3594,0.571
usa,death,peace,A1,A3,0.775,0.4332,0.1886,0.5726,0.7258,0.7634
usa,death,peach,A1,A3,0.775,0.4332,0.0288,0.0976,0.4106,0.6248
usa,death,sad,A1,A3,0.775,0.4332,0.7964,0.4174,-0.0372,0.0481
usa,death,safety,A1,A3,0.775,0.4332,0.223,0.3274,0.4462,0.5394
usa,death,sandstorm,A1,A3,0.775,0.4332,0.3454,0.3636,0.36,0.4205
usa,death,sick,A1,A3,0.775,0.4332,0.4512,0.242,0.1326,0.1658
usa,death,tree,A1,A3,0.775,0.4332,0.0992,0.1328,0.3754,0.5547
usa,happy,justice,A1,A3,0.1012,0.3008,0.302,0.4376,-0.064,0.0874
usa,happy,lightning,A1,A3,0.1012,0.3008,0.3756,0.51,-0.0652,0.0857
usa,happy,mango,A1,A3,0.1012,0.3008,0.0426,0.0602,-0.182,0.3948
usa,happy,peace,A1,A3,0.1012,0.3008,0.1886,0.5726,0.1844,0.2664
usa,happy,peach,A1,A3,0.1012,0.3008,0.0288,0.0976,-0.1308,0.2812
usa,happy,sad,A1,A3,0.1012,0.3008,0.7964,0.4174,-0.5786,0.7108
usa,happy,safety,A1,A3,0.1012,0.3008,0.223,0.3274,-0.0952,0.142
usa,happy,sandstorm,A1,A3,0.1012,0.3008,0.3454,0.3636,-0.1814,0.2444
usa,happy,sick,A1,A3,0.1012,0.3008,0.4512,0.242,-0.4088,0.531
usa,happy,tree,A1,A3,0.1012,0.3008,0.0992,0.1328,-0.166,0.3224
usa,justice,lightning,A1,A3,0.302,0.4376,0.3756,0.51,-0.0012,0.0014
usa,justice,mango,A1,A3,0.302,0.4376,0.0426,0.0602,-0.118,0.1914
usa,justice,peace,A1,A3,0.302,0.4376,0.1886,0.5726,0.2484,0.303
usa,justice,peach,A1,A3,0.302,0.4376,0.0288,0.0976,-0.0668,0.1073
usa,justice,sad,A1,A3,0.302,0.4376,0.7964,0.4174,-0.5146,0.5776
usa,justice,safety,A1,A3,0.302,0.4376,0.223,0.3274,-0.0312,0.0395
usa,justice,sandstorm,A1,A3,0.302,0.4376,0.3454,0.3636,-0.1174,0.1385
usa,justice,sick,A1,A3,0.302,0.4376,0.4512,0.242,-0.3448,0.4001
usa,justice,tree,A1,A3,0.302,0.4376,0.0992,0.1328,-0.102,0.1548
usa,lightning,mango,A1,A3,0.3756,0.51,0.0426,0.0602,-0.1168,0.1797
usa,lightning,peace,A1,A3,0.3756,0.51,0.1886,0.5726,0.2496,0.2953
usa,lightning,peach,A1,A3,0.3756,0.51,0.0288,0.0976,-0.0656,0.1
usa,lightning,sad,A1,A3,0.3756,0.51,0.7964,0.4174,-0.5134,0.5619
usa,lightning,safety,A1,A3,0.3756,0.51,0.223,0.3274,-0.03,0.0368
usa,lightning,sandstorm,A1,A3,0.3756,0.51,0.3454,0.3636,-0.1162,0.1332
usa,lightning,sick,A1,A3,0.3756,0.51,0.4512,0.242,-0.3436,0.388
usa,lightning,tree,A1,A3,0.3756,0.51,0.0992,0.1328,-0.1008,0.1461
usa,mango,peace,A1,A3,0.0426,0.0602,0.1886,0.5726,0.3664,0.5988
usa,mango,peach,A1,A3,0.0426,0.0602,0.0288,0.0976,0.0512,0.2365
usa,mango,sad,A1,A3,0.0426,0.0602,0.7964,0.4174,-0.3966,0.6307
usa,mango,safety,A1,A3,0.0426,0.0602,0.223,0.3274,0.0868,0.162
usa,mango,sandstorm,A1,A3,0.0426,0.0602,0.3454,0.3636,6e-4,0.001
usa,mango,sick,A1,A3,0.0426,0.0602,0.4512,0.242,-0.2268,0.3747
usa,mango,tree,A1,A3,0.0426,0.0602,0.0992,0.1328,0.016,0.0537
usa,peace,peach,A1,A3,0.1886,0.5726,0.0288,0.0976,-0.3152,0.5207
usa,peace,sad,A1,A3,0.1886,0.5726,0.7964,0.4174,-0.763,0.7936
usa,peace,safety,A1,A3,0.1886,0.5726,0.223,0.3274,-0.2796,0.3637
usa,peace,sandstorm,A1,A3,0.1886,0.5726,0.3454,0.3636,-0.3658,0.434
usa,peace,sick,A1,A3,0.1886,0.5726,0.4512,0.242,-0.5932,0.6608
usa,peace,tree,A1,A3,0.1886,0.5726,0.0992,0.1328,-0.3504,0.539
usa,peach,sad,A1,A3,0.0288,0.0976,0.7964,0.4174,-0.4478,0.6797
usa,peach,safety,A1,A3,0.0288,0.0976,0.223,0.3274,0.0356,0.0654
usa,peach,sandstorm,A1,A3,0.0288,0.0976,0.3454,0.3636,-0.0506,0.0815
usa,peach,sick,A1,A3,0.0288,0.0976,0.4512,0.242,-0.278,0.4434
usa,peach,tree,A1,A3,0.0288,0.0976,0.0992,0.1328,-0.0352,0.1103
usa,sad,safety,A1,A3,0.7964,0.4174,0.223,0.3274,0.4834,0.5833
usa,sad,sandstorm,A1,A3,0.7964,0.4174,0.3454,0.3636,0.3972,0.4646
usa,sad,sick,A1,A3,0.7964,0.4174,0.4512,0.242,0.1698,0.2144
usa,sad,tree,A1,A3,0.7964,0.4174,0.0992,0.1328,0.4126,0.6099
usa,safety,sandstorm,A1,A3,0.223,0.3274,0.3454,0.3636,-0.0862,0.109
usa,safety,sick,A1,A3,0.223,0.3274,0.4512,0.242,-0.3136,0.3915
usa,safety,tree,A1,A3,0.223,0.3274,0.0992,0.1328,-0.0708,0.1212
usa,sandstorm,sick,A1,A3,0.3454,0.3636,0.4512,0.242,-0.2274,0.2708
usa,sandstorm,tree,A1,A3,0.3454,0.3636,0.0992,0.1328,0.0154,0.0236
usa,sick,tree,A1,A3,0.4512,0.242,0.0992,0.1328,0.2428,0.372
usa,angry,banana,A1,BK,0.3736,0.6538,0.0524,0.1832,-0.1494,0.2213
usa,angry,death,A1,BK,0.3736,0.6538,0.775,0.9468,-0.1084,0.1568
usa,angry,happy,A1,BK,0.3736,0.6538,0.1012,0.0908,-0.2906,0.43
usa,angry,justice,A1,BK,0.3736,0.6538,0.302,0.4356,-0.1466,0.1719
usa,angry,lightning,A1,BK,0.3736,0.6538,0.3756,0.3808,-0.275,0.3123
usa,angry,mango,A1,BK,0.3736,0.6538,0.0426,0.0498,-0.273,0.4247
usa,angry,peace,A1,BK,0.3736,0.6538,0.1886,0.1206,-0.3482,0.4723
usa,angry,peach,A1,BK,0.3736,0.6538,0.0288,0.0292,-0.2798,0.4383
usa,angry,sad,A1,BK,0.3736,0.6538,0.7964,0.795,-0.2816,0.3692
usa,angry,safety,A1,BK,0.3736,0.6538,0.223,0.1376,-0.3656,0.4791
usa,angry,sandstorm,A1,BK,0.3736,0.6538,0.3454,0.3184,-0.3072,0.3562
usa,angry,sick,A1,BK,0.3736,0.6538,0.4512,0.479,-0.2524,0.2799
usa,angry,tree,A1,BK,0.3736,0.6538,0.0992,0.138,-0.2414,0.3536
usa,banana,death,A1,BK,0.0524,0.1832,0.775,0.9468,0.041,0.0924
usa,banana,happy,A1,BK,0.0524,0.1832,0.1012,0.0908,-0.1412,0.3692
usa,banana,justice,A1,BK,0.0524,0.1832,0.302,0.4356,0.0028,0.0042
usa,banana,lightning,A1,BK,0.0524,0.1832,0.3756,0.3808,-0.1256,0.1836
usa,banana,mango,A1,BK,0.0524,0.1832,0.0426,0.0498,-0.1236,0.38
usa,banana,peace,A1,BK,0.0524,0.1832,0.1886,0.1206,-0.1988,0.4206
usa,banana,peach,A1,BK,0.0524,0.1832,0.0288,0.0292,-0.1304,0.4146
usa,banana,sad,A1,BK,0.0524,0.1832,0.7964,0.795,-0.1322,0.253
usa,banana,safety,A1,BK,0.0524,0.1832,0.223,0.1376,-0.2162,0.4246
usa,banana,sandstorm,A1,BK,0.0524,0.1832,0.3454,0.3184,-0.1578,0.2404
usa,banana,sick,A1,BK,0.0524,0.1832,0.4512,0.479,-0.103,0.1443
usa,banana,tree,A1,BK,0.0524,0.1832,0.0992,0.138,-0.092,0.2272
usa,death,happy,A1,BK,0.775,0.9468,0.1012,0.0908,-0.1822,0.4283
usa,death,justice,A1,BK,0.775,0.9468,0.302,0.4356,-0.0382,0.0558
usa,death,lightning,A1,BK,0.775,0.9468,0.3756,0.3808,-0.1666,0.2352
usa,death,mango,A1,BK,0.775,0.9468,0.0426,0.0498,-0.1646,0.4403
usa,death,peace,A1,BK,0.775,0.9468,0.1886,0.1206,-0.2398,0.4696
usa,death,peach,A1,BK,0.775,0.9468,0.0288,0.0292,-0.1714,0.4697
usa,death,sad,A1,BK,0.775,0.9468,0.7964,0.795,-0.1732,0.3125
usa,death,safety,A1,BK,0.775,0.9468,0.223,0.1376,-0.2572,0.4715
usa,death,sandstorm,A1,BK,0.775,0.9468,0.3454,0.3184,-0.1988,0.2912
usa,death,sick,A1,BK,0.775,0.9468,0.4512,0.479,-0.144,0.1955
usa,death,tree,A1,BK,0.775,0.9468,0.0992,0.138,-0.133,0.3001
usa,happy,justice,A1,BK,0.1012,0.0908,0.302,0.4356,0.144,0.2227
usa,happy,lightning,A1,BK,0.1012,0.0908,0.3756,0.3808,0.0156,0.0239
usa,happy,mango,A1,BK,0.1012,0.0908,0.0426,0.0498,0.0176,0.0692
usa,happy,peace,A1,BK,0.1012,0.0908,0.1886,0.1206,-0.0576,0.1394
usa,happy,peach,A1,BK,0.1012,0.0908,0.0288,0.0292,0.0108,0.0454
usa,happy,sad,A1,BK,0.1012,0.0908,0.7964,0.795,0.009,0.0187
usa,happy,safety,A1,BK,0.1012,0.0908,0.223,0.1376,-0.075,0.1661
usa,happy,sandstorm,A1,BK,0.1012,0.0908,0.3454,0.3184,-0.0166,0.0268
usa,happy,sick,A1,BK,0.1012,0.0908,0.4512,0.479,0.0382,0.0556
usa,happy,tree,A1,BK,0.1012,0.0908,0.0992,0.138,0.0492,0.1377
usa,justice,lightning,A1,BK,0.302,0.4356,0.3756,0.3808,-0.1284,0.1493
usa,justice,mango,A1,BK,0.302,0.4356,0.0426,0.0498,-0.1264,0.2057
usa,justice,peace,A1,BK,0.302,0.4356,0.1886,0.1206,-0.2016,0.2865
usa,justice,peach,A1,BK,0.302,0.4356,0.0288,0.0292,-0.1332,0.2188
usa,justice,sad,A1,BK,0.302,0.4356,0.7964,0.795,-0.135,0.1829
usa,justice,safety,A1,BK,0.302,0.4356,0.223,0.1376,-0.219,0.3005
usa,justice,sandstorm,A1,BK,0.302,0.4356,0.3454,0.3184,-0.1606,0.1915
usa,justice,sick,A1,BK,0.302,0.4356,0.4512,0.479,-0.1058,0.1197
