concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category,extremeness
death,sick,BK,MG,0.6349673160426887,0.8974761926168588,high,high,MG_high__US_high,1.5324435086595476
death,sick,MB,SP,0.3970638302352944,0.005494228910330801,high,low,MG_high__US_low,0.3915696013249636
death,sick,MH,SB,8.086814359977712e-4,0.7411396298646817,low,high,MG_low__US_high,0.740330948428684
death,sick,LR,MR,0.029100010208731764,0.004385638480509657,low,low,MG_low__US_low,-0.03348564868924142
death,tree,BK,SG,0.9856301007907955,0.9998816199564142,high,high,MG_high__US_high,1.9855117207472097
death,tree,DB,DP,0.6711186872985602,0.02125294639662867,high,low,MG_high__US_low,0.6498657409019315
death,tree,A2,SP,0.010611672136095596,0.8878579905965751,low,high,MG_low__US_high,0.8772463184604795
death,tree,DY,SY,0.01996222825404881,0.014764231355202995,low,low,MG_low__US_low,-0.0347264596092518
happy,justice,BK,SY,0.5097478881086246,0.9066440657254498,high,high,MG_high__US_high,1.4163919538340743
happy,justice,A1,LC,0.06905284187773497,0.7388708174493848,low,high,MG_low__US_high,0.6698179755716498
happy,justice,MP,MR,2.517379092830674e-4,0.017377545430757868,low,low,MG_low__US_low,-0.017629283340040935
happy,lightning,BK,SG,0.6043012023171528,0.9096152715791894,high,high,MG_high__US_high,1.5139164738963422
happy,lightning,BK,WH,0.5011361797262242,0.011449087933631807,high,low,MG_high__US_low,0.48968709179259234
happy,lightning,SC,WH,0.01562163376815806,0.8126009581767712,low,high,MG_low__US_high,0.7969793244086132
happy,lightning,DH,MO,0.01737399888004032,0.016570445593065086,low,low,MG_low__US_low,-0.033944444473105406
happy,mango,DH,SB,0.6100840074585157,0.7559610568668544,high,high,MG_high__US_high,1.36604506432537
happy,mango,SG,WH,0.6115878640989605,0.013367790824122094,high,low,MG_high__US_low,0.5982200732748384
happy,mango,MO,SP,0.022628506049470365,0.7984994196355149,low,high,MG_low__US_high,0.7758709135860444
happy,mango,MY,SO,0.004125622549508934,0.00569598016541395,low,low,MG_low__US_low,-0.009821602714922884
happy,peace,A3,SY,0.47990699089124694,0.7357125075937687,high,high,MG_high__US_high,1.2156194984850157
happy,peace,A3,DB,0.3754365942420921,0.15077875382481037,high,low,MG_high__US_low,0.2246578404172817
happy,peace,DB,SR,0.06890787335695925,0.5950432846766116,low,high,MG_low__US_high,0.5261354113196524
happy,peace,DP,MY,0.00155728680801559,0.008512389152415034,low,low,MG_low__US_low,-0.010069675960430624
happy,peach,MO,WH,0.536568006594544,0.8732438249705223,high,high,MG_high__US_high,1.4098118315650663
happy,peach,DP,WH,0.5251526025332762,0.020509383258154656,high,low,MG_high__US_low,0.5046432192751216
happy,peach,MO,SG,0.013908251393873305,0.9188888756391365,low,high,MG_low__US_high,0.9049806242452632
happy,peach,LB,SH,0.001101471133512888,0.0188340574112274,low,low,MG_low__US_low,-0.01993552854474029
happy,sad,BK,SY,0.8995638704378415,0.999932892109856,high,high,MG_high__US_high,1.8994967625476975
happy,sad,MP,SB,0.6283205419064375,0.017744109550869913,high,low,MG_high__US_low,0.6105764323555676
happy,sad,DO,SP,0.015031787108348682,0.7760155810891003,low,high,MG_low__US_high,0.7609837939807516
happy,sad,SC,SR,0.012560929164201484,0.01747668604014141,low,low,MG_low__US_low,-0.030037615204342893
happy,safety,BK,LP,0.45014025167751504,0.6323969457425112,high,high,MG_high__US_high,1.0825371974200262
happy,safety,BK,WH,0.49745048069176345,0.046001857894829856,high,low,MG_high__US_low,0.4514486227969336
happy,safety,SC,SH,0.0027598022577639547,0.01040874895799343,low,low,MG_low__US_low,-0.013168551215757385
happy,sandstorm,DO,SB,0.7401814948223824,0.959517742066256,high,high,MG_high__US_high,1.6996992368886383
happy,sandstorm,MH,WH,0.4132258593083451,0.028887371253322358,high,low,MG_high__US_low,0.38433848805502274
happy,sandstorm,A3,LP,0.02631238723613838,0.7783523694905492,low,high,MG_low__US_high,0.7520399822544108
happy,sandstorm,LC,LG,0.009925367300701149,0.0029364431594882667,low,low,MG_low__US_low,-0.012861810460189416
happy,sick,BK,SY,0.7978676282937425,0.8907698514616891,high,high,MG_high__US_high,1.6886374797554315
happy,sick,MP,SO,0.6063301923110522,0.0024959622156952577,high,low,MG_high__US_low,0.603834230095357
happy,sick,DY,LP,0.03767022493032357,0.9685572889485972,low,high,MG_low__US_high,0.9308870640182736
happy,sick,MO,MY,0.010859395972561803,0.013372462497892368,low,low,MG_low__US_low,-0.02423185847045417
happy,tree,DG,WH,0.8448648882885432,0.9133334833283626,high,high,MG_high__US_high,1.7581983716169058
happy,tree,DP,WH,0.5574455425772922,0.02525777667059592,high,low,MG_high__US_low,0.5321877659066963
happy,tree,DO,LG,0.04891624233290881,0.769967949397335,low,high,MG_low__US_high,0.7210517070644262
happy,tree,A1,DC,0.00735774836515507,0.010179225428513072,low,low,MG_low__US_low,-0.017536973793668142
justice,lightning,DC,WH,0.35748051621765353,0.6466757912002814,high,high,MG_high__US_high,1.004156307417935
justice,lightning,A3,DY,0.5095201444598159,0.05743327978323576,high,low,MG_high__US_low,0.4520868646765801
justice,lightning,DG,SY,0.0576190825460543,0.8336749052038448,low,high,MG_low__US_high,0.7760558226577905
justice,lightning,LB,SC,0.008374570359702072,0.0035312811042972903,low,low,MG_low__US_low,-0.011905851463999362
justice,mango,A3,SO,0.8120820667692896,0.9333495785458106,high,high,MG_high__US_high,1.7454316453151002
justice,mango,DG,LP,0.6485057549660365,0.057338360407683586,high,low,MG_high__US_low,0.5911673945583529
justice,mango,DC,MO,0.018696610964317184,0.7987692663520853,low,high,MG_low__US_high,0.7800726553877682
justice,mango,LR,MR,0.022413659724835222,0.005099026158046804,low,low,MG_low__US_low,-0.027512685882882026
justice,peace,DR,LG,0.36892654846392947,0.6540103743131858,high,high,MG_high__US_high,1.0229369227771152
justice,peace,A1,LC,4.7147587544443814e-4,0.70749636075304,low,high,MG_low__US_high,0.7070248848775955
justice,peace,DH,SH,0.013746641322360864,0.001486952971729849,low,low,MG_low__US_low,-0.015233594294090713
