concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us,extremeness
lightning,peach,MG_high__US_low,LG,MP,0.4233274856993066,0.10344381009554837,0.31988367560375824
lightning,peach,MG_high__US_low,DY,SG,0.4128834775637018,0.0972483739602732,0.3156351036034286
lightning,peach,MG_low__US_high,MO,SY,0.005016722126978124,0.9736053614564879,0.9685886393295098
lightning,peach,MG_low__US_high,LR,SY,0.0053548765693647304,0.9443357672829091,0.9389808907135444
lightning,peach,MG_low__US_high,MO,SH,0.028157684864219323,0.9480523938719747,0.9198947090077554
lightning,peach,MG_low__US_high,DP,WH,0.054676130054518934,0.9596988816440002,0.9050227515894813
lightning,peach,MG_low__US_high,A1,LO,0.0441983052514614,0.9217510001767393,0.8775526949252779
lightning,peach,MG_low__US_low,LY,SB,0.02250894847355095,0.011011400864674892,-0.03352034933822584
lightning,peach,MG_low__US_low,LB,LY,0.026995725917197566,0.012927607107174666,-0.03992333302437223
lightning,peach,MG_low__US_low,DR,SR,0.03473415569692162,0.006482971206697441,-0.04121712690361906
lightning,peach,MG_low__US_low,LC,SC,0.0033554923407990156,0.04054012807214069,-0.043895620412939707
lightning,peach,MG_low__US_low,DC,DY,0.03505352242280657,0.009749279532374422,-0.04480280195518099
lightning,sad,MG_high__US_high,BK,SY,0.5479659637567487,0.9599612184867101,1.5079271822434588
lightning,sad,MG_high__US_high,A1,SY,0.49654589096674906,0.9618496590432135,1.4583955500099626
lightning,sad,MG_high__US_high,BK,LY,0.5383632031901993,0.9092678968565799,1.4476311000467792
lightning,sad,MG_high__US_high,BK,WH,0.49218389835448595,0.934180306866768,1.426364205221254
lightning,sad,MG_high__US_high,BK,SO,0.6089632460430383,0.7949073608212971,1.4038706068643354
lightning,sad,MG_high__US_low,BK,DB,0.545641227728755,0.06769120013875951,0.4779500275899955
lightning,sad,MG_high__US_low,A1,DB,0.4952188459383926,0.07725174015341058,0.41796710578498203
lightning,sad,MG_high__US_low,BK,MB,0.5212936249041151,0.15098529702715924,0.3703083278769559
lightning,sad,MG_high__US_low,A2,DB,0.3648292983383925,0.03593586648412406,0.32889343185426845
lightning,sad,MG_high__US_low,MP,SB,0.335084175733308,0.02644493642365703,0.308639239309651
